Name,Surname,Country,Year,Category,Motivation,Institution,Other,
K.,Kochi,Switzerland?,1997,Biology,for measuring people’s brainwave patterns while they chewed different flavors of gum.,,,
I.,Kondakor,Switzerland?,1997,Biology,for measuring people’s brainwave patterns while they chewed different flavors of gum.,,,
Thomas,Koenig,Switzerland?,1997,Biology,for measuring people’s brainwave patterns while they chewed different flavors of gum.,,,
Dietrich,Lehmann,Switzerland,1997,Biology,for measuring people’s brainwave patterns while they chewed different flavors of gum.,,,
Mark,Hostetler,US,1997,Entomology,"for his scholarly book, “That Gunk on Your Car,” which identifies the insect splats that appear on automobile windows.",University of Florida,,
Richard,Hoagland ,US,1997,Astronomy,"for identifying artificial features on the moon and on Mars, including a human face on Mars and ten-mile high buildings on the far side of the moon. [REFERENCE: “The Monuments of Mars: A City on the Edge of Forever,”",,,
Sanford,Wallace,US,1997,Communication,neither rain nor sleet nor dark of night have stayed this self-appointed courier from delivering electronic junk mail to all the world.,,,
John,Bockris,South Africa,1997,Physics,"for his wide-ranging achievements in cold fusion, in the transmutation of base elements into gold, and in the electrochemical incineration of domestic rubbish.",Texas A&M University,,
Doron,Witztum,Israel,1997,Literature,"for their hairsplitting statistical discovery that the bible contains a secret, hidden code.",,,
Eliyahu,Rips,Israel,1997,Literature,"for their hairsplitting statistical discovery that the bible contains a secret, hidden code.",,,
Yoav,Rosenberg,Israel,1997,Literature,"for their hairsplitting statistical discovery that the bible contains a secret, hidden code.",,,
Michael,Drosnin,US,1997,Literature,"for their hairsplitting statistical discovery that the bible contains a secret, hidden code.",,,
Carl,J. Charnetski,US,1997,Medicine,"for their discovery that listening to elevator Muzak stimulates immunoblobulin A (IgA) production, and thus may help prevent the common cold.",Wilkes University,,
Francis,X. Brennan Jr. ,US,1997,Medicine,"for their discovery that listening to elevator Muzak stimulates immunoblobulin A (IgA) production, and thus may help prevent the common cold.",Wilkes University,,
James,F. Harrison,US,1997,Medicine,"for their discovery that listening to elevator Muzak stimulates immunoblobulin A (IgA) production, and thus may help prevent the common cold.",Muzak Ltd. ,,
Akihiro,Yokoi,Japan,1997,Economics,"the father and mother of Tamagotchi, for diverting millions of person-hours of work into the husbandry of virtual pets.",,,
Aki,Maita,Japan,1997,Economics,"the father and mother of Tamagotchi, for diverting millions of person-hours of work into the husbandry of virtual pets.",,,
Harold,Hillman,UK,1997,Peace,for his lovingly rendered and ultimately peaceful report “The Possible Pain Experienced During Execution by Different Methods.,"University of Surrey, England",,
Bernard,Vonnegut,US,1997,Meteorology,"for his revealing report, “Chicken Plucking as Measure of Tornado Wind Speed.”",State University of Albany,,
Troy,Hurtubise,Canada,1998,Safety Engineering,"for developing, and personally testing a suit of armor that is impervious to grizzly bears.",,,
Peter,Fong,US,1998,Biology,for contributing to the happiness of clams by giving them Prozac,Gettysburg College,,
Shri,Atal Bihari Vajpayee,India,1998,Peace,for their aggressively peaceful explosions of atomic bombs,,Prime Minister,
Nawaz,Sharif,Pakistan,1998,Peace,for their aggressively peaceful explosions of atomic bombs,,Prime Minister,
Jacques,Benveniste,France,1998,Chemistry,"for his homeopathic discovery that not only does water have memory, but that the information can be transmitted over telephone lines and the Internet.",,,
Dolores,Krieger,US?,1998,Science Education,"for demonstrating the merits of therapeutic touch, a method by which nurses manipulate the energy fields of ailing patients by carefully avoiding physical contact with those patients.",New York University,,
Jerald,Bain,Canada,1998,Statistics,"for their carefully measured report, “The Relationships Among Height, Penile Length, and Foot Size.”",Mt. Sinai Hospital in Toronto,,
Kerry,Siminoski,Canada,1998,Statistics,"for their carefully measured report, “The Relationships Among Height, Penile Length, and Foot Size.”",University of Alberta,,
Deepak,Chopra,India,1998,Physics,"for his unique interpretation of quantum physics as it applies to life, liberty, and the pursuit of economic happiness.",The Chopra Center for Well Being,,
Richard,Seed,US,1998,Economics,for his efforts to stoke up the world economy by cloning himself and other human beings.,,,
Patient Y,,Wales,1998,Medicine,"for the cautionary medical report, “A Man Who Pricked His Finger and Smelled Putrid for 5 Years.”",,,
Caroline,Mills,Wales,1998,Medicine,"for the cautionary medical report, “A Man Who Pricked His Finger and Smelled Putrid for 5 Years.”",,,
Meirion,Llewelyn,Wales,1998,Medicine,"for the cautionary medical report, “A Man Who Pricked His Finger and Smelled Putrid for 5 Years.”",,,
David,Kelly,Wales,1998,Medicine,"for the cautionary medical report, “A Man Who Pricked His Finger and Smelled Putrid for 5 Years.”",,,
Peter,Holt,Wales,1998,Medicine,"for the cautionary medical report, “A Man Who Pricked His Finger and Smelled Putrid for 5 Years.”",,,
Mara,Sidoli,US,1998,Literature,"for her illuminating report, “Farting as a Defence Against Unspeakable Dread.”",,,
Steve,Penfold,Canada,1999,Sociology,for doing his PhD thesis on the sociology of Canadian donut shops.,York University in Toronto,,
Len,Fisher,UK/Australia,1999,Physics,for calculating the optimal way to dunk a biscuit,,,
Jean-Marc,Vanden-Broeck,UK/Belgium,1999,Physics,for calculating how to make a teapot spout that does not drip.,,,
Joseph,Keller,US,1999,Physics,for calculating how to make a teapot spout that does not drip.,,,
The British Standards Institution,,UK,1999,Literature,for its six-page specification (BS-6008) of the proper way to make a cup of tea.,,,
The Kansas State Board of Education,,US,1999,Science Education,"for mandating that children should not believe in Darwin‘s theory of evolution any more than they believe in Newton‘s theory of gravitation, Faraday‘s and Maxwell‘s theory of electromagnetism, or Pasteur‘s theory that germs cause disease.",,,
Colorado State Board of Education,,US,1999,Science Education,"for mandating that children should not believe in Darwin‘s theory of evolution any more than they believe in Newton‘s theory of gravitation, Faraday‘s and Maxwell‘s theory of electromagnetism, or Pasteur‘s theory that germs cause disease.",,,
Arvid,Vatle,Norway,1999,Medicine,"for carefully collecting, classifying, and contemplating which kinds of containers his patients chose when submitting urine samples.",,,
Takeshi,Makino,Japan,1999,Chemistry,"for his involvement with S-Check, an infidelity detection spray that wives can apply to their husbands’ underwear.",,,
Paul,Bosland,US,1999,Biology,for breeding a spiceless jalapeno chile pepper,,,
Hyuk-ho,Kwon,South Korea,1999,Environmental Protection,for inventing the self-perfuming business suit.,,,
Charl,Fourie,South Africa,1999,Peace,for inventing an automobile burglar alarm consisting of a detection circuit and a flamethrower.,,,
Michelle,Wong,South Africa,1999,Peace,for inventing an automobile burglar alarm consisting of a detection circuit and a flamethrower.,,,
George,Blonsky ,US,1999,Managed Health Care,"for inventing a device (US Patent #3,216,423) to aid women in giving birth — the woman is strapped onto a circular table, and the table is then rotated at high speed.",,,
Charlotte,Blonsky ,US,1999,Managed Health Care,"for inventing a device (US Patent #3,216,423) to aid women in giving birth — the woman is strapped onto a circular table, and the table is then rotated at high speed.",,,
David,Dunning,US,2000,Psychology,"for their modest report, “Unskilled and Unaware of It: How Difficulties in Recognizing One’s Own Incompetence Lead to Inflated Self-Assessments.” ",Cornell University,,
Justin,Kruger,US,2000,Psychology,"for their modest report, “Unskilled and Unaware of It: How Difficulties in Recognizing One’s Own Incompetence Lead to Inflated Self-Assessments.” ",University of Illinois,,
Jasmuheen (formerly known as Ellen Greve),,Australia,2000,Literature,"for her book “Living on Light,” which explains that although some people do eat food, they don’t ever really need to.",,,
Richard,Wassersug,Canada,2000,Biology,"for his first-hand report, “On the Comparative Palatability of Some Dry-Season Tadpoles from Costa Rica.”",Dalhousie University,,
Andre,Geim,Netherlands,2000,Physics,for using magnets to levitate a frog.,University of Nijmegen,,
Sir Michael,Berry,UK,2000,Physics,for using magnets to levitate a frog.,Bristol University,,
Donatella,Marazziti,Italy,2000,Chemistry,"for their discovery that, biochemically, romantic love may be indistinguishable from having severe obsessive-compulsive disorder. ",University of Pisa,,
Alessandra,Rossi,Italy,2000,Chemistry,"for their discovery that, biochemically, romantic love may be indistinguishable from having severe obsessive-compulsive disorder. ",University of Pisa,,
Giovanni,B. Cassano,Italy,2000,Chemistry,"for their discovery that, biochemically, romantic love may be indistinguishable from having severe obsessive-compulsive disorder. ",University of Pisa,,
Hagop,S. Akiskal,US,2000,Chemistry,"for their discovery that, biochemically, romantic love may be indistinguishable from having severe obsessive-compulsive disorder. ",University of California,,
Reverend Sun,Myung Moon,North Korea (now),2000,Economics,"for bringing efficiency and steady growth to the mass-marriage industry, with, according to his reports, a 36-couple wedding in 1960, a 430-couple wedding in 1968, an 1800-couple wedding in 1975, a 6000-couple wedding in 1982, a 30,000-couple wedding in 1992, a 360,000-couple wedding in 1995, and a 36,000,000-couple wedding in 1997.",,,
Willibrord,Weijmar Schultz,Netherlands,2000,Medicine,"for their illuminating report, “Magnetic Resonance Imaging of Male and Female Genitals During Coitus and Female Sexual Arousal.”",,,
Pek,van Andel,Netherlands,2000,Medicine,"for their illuminating report, “Magnetic Resonance Imaging of Male and Female Genitals During Coitus and Female Sexual Arousal.”",,,
Eduard,Mooyaart,Netherlands,2000,Medicine,"for their illuminating report, “Magnetic Resonance Imaging of Male and Female Genitals During Coitus and Female Sexual Arousal.”",,,
Ida,Sabelis,Netherlands,2000,Medicine,"for their illuminating report, “Magnetic Resonance Imaging of Male and Female Genitals During Coitus and Female Sexual Arousal.”",,,
Chris,Niswander,US,2000,Computer Science,"for inventing PawSense, software that detects when a cat is walking across your computer keyboard.",,,
British Royal Navy,,UK,2000,Peace,"for ordering its sailors to stop using live cannon shells, and to instead just shout “Bang!”",,,
Jonathan,Wyatt,UK,2000,Public Health,"for their alarming report, “The Collapse of Toilets in Glasgow.”",,,
Gordon,McNaughton,UK,2000,Public Health,"for their alarming report, “The Collapse of Toilets in Glasgow.”",,,
William,Tullett,UK,2000,Public Health,"for their alarming report, “The Collapse of Toilets in Glasgow.”",,,
Peter,Barss,Canada,2001,Medicine,for his impactful medical report “Injuries Due to Falling Coconuts.”,McGill University,,
David,Schmidt,US,2001,Physics,for his partial solution to the question of why shower curtains billow inwards.,University of Massachusetts,,
Buck,Weimer,US,2001,Biology,"for inventing Under-Ease, airtight underwear with a replaceable charcoal filter that removes bad-smelling gases before they escape.",,,
Joel,Slemrod,US,2001,Economics,for their conclusion that people find a way to postpone their deaths if that would qualify them for a lower rate on the inheritance tax.,University of Michigan Business School,,
Wojciech,Kopczuk,Poland?,2001,Economics,for their conclusion that people find a way to postpone their deaths if that would qualify them for a lower rate on the inheritance tax.,University of British Columbia; Columbia University,,
John,Richards ,UK,2001,Literature,"founder of The Apostrophe Protection Society, for his efforts to protect, promote, and defend the differences between plural and possessive.",,,
Lawrence,W. Sherman,US,2001,Psychology,for his influential research report “An Ecological Study of Glee in Small Groups of Preschool Children.”,Miami University,,
Jack,Van Impe,US,2001,Astrophysics,for their discovery that black holes fulfill all the technical requirements to be the location of Hell.,,,
Rexella,Van Impe,US,2001,Astrophysics,for their discovery that black holes fulfill all the technical requirements to be the location of Hell.,,,
Viliumas,Malinauskus,Lithuania,2001,Peace,for creating the amusement park known as “Stalin World.”,,,
John,Keogh,Australia,2001,Technology,for patenting the wheel in the year 2001,,,
